jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	570.9796	470.4544	422.2474	681.1256	639.9911	752.5075
IndMCP_f	215.5116	212.2077	143.0504	318.3821	340.3714	360.4294
MidMCP_f	69.7873	57.3297	46.4662	58.0413	59.9668	87.5203
RinMMCP_fCP	106.9816	76.0262	97.2575	90.5141	49.3555	76.1013
LitMCP_f	131.4157	86.4062	101.7104	149.4379	126.8531	158.2522
ThPIP	372.7922	307.1594	275.6850	444.7064	417.8497	491.3116
IndPIP	92.6879	91.2670	61.5236	136.9308	146.3880	155.0146
MidPIP	30.1684	24.7831	20.0869	25.0907	25.9231	37.8342
RinPIP	53.9653	38.3503	49.0602	45.6585	24.8967	38.3882
LitPIP	70.8185	46.5634	54.8107	80.5306	68.3598	85.2805
ThDIP	145.5621	119.9348	107.6452	173.6421	163.1555	191.8397
IndDIP	40.7144	40.0902	27.0251	60.1487	64.3029	68.0923
MidDIP	11.9248	9.7961	7.9398	9.9177	10.2467	14.9549
RinDIP	19.7977	14.0692	17.9982	16.7503	9.1336	14.0831
LitDIP	26.7768	17.6058	20.7242	30.4490	25.8472	32.2450
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	571.4648	470.3874	423.2227	681.2010	640.3498	753.0331
IndMCP_f	215.4929	212.1473	143.2834	318.3856	340.6045	360.3808
MidMCP_f	69.7931	57.3201	46.5514	58.1421	60.0306	87.6082
RinMMCP_fCP	107.2714	75.8589	97.4276	90.6239	49.4283	76.4292
LitMCP_f	131.5922	86.5471	102.1010	149.3366	126.8275	158.4033
ThPIP	373.1090	307.1156	276.3218	444.7557	418.0839	491.6548
IndPIP	92.6799	91.2410	61.6238	136.9323	146.4883	154.9937
MidPIP	30.1709	24.7789	20.1237	25.1343	25.9506	37.8722
RinPIP	54.1115	38.2659	49.1459	45.7139	24.9334	38.5536
LitPIP	70.9137	46.6393	55.0212	80.4760	68.3460	85.3619
ThDIP	145.6858	119.9177	107.8938	173.6613	163.2469	191.9737
IndDIP	40.7109	40.0789	27.0691	60.1494	64.3470	68.0831
MidDIP	11.9258	9.7945	7.9544	9.9350	10.2576	14.9699
RinDIP	19.8514	14.0382	18.0297	16.7706	9.1471	14.1438
LitDIP	26.8128	17.6346	20.8038	30.4283	25.8420	32.2758
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	571.9639	470.3432	424.2182	681.2877	640.7251	753.5712
IndMCP_f	215.4771	212.0992	143.5145	318.3946	340.8531	360.3356
MidMCP_f	69.7989	57.3117	46.6390	58.2451	60.0948	87.6972
RinMMCP_fCP	107.5668	75.6970	97.6014	90.7383	49.5008	76.7655
LitMCP_f	131.7728	86.6904	102.5050	149.2339	126.8013	158.5543
ThPIP	373.4348	307.0867	276.9718	444.8122	418.3290	492.0061
IndPIP	92.6731	91.2203	61.7232	136.9362	146.5952	154.9743
MidPIP	30.1734	24.7753	20.1616	25.1788	25.9784	37.9106
RinPIP	54.2605	38.1843	49.2336	45.7716	24.9700	38.7233
LitPIP	71.0110	46.7166	55.2389	80.4206	68.3319	85.4433
ThDIP	145.8130	119.9065	108.1476	173.6834	163.3426	192.1109
IndDIP	40.7079	40.0698	27.1127	60.1511	64.3939	68.0746
MidDIP	11.9268	9.7931	7.9694	9.9525	10.2686	14.9851
RinDIP	19.9060	14.0083	18.0619	16.7918	9.1605	14.2060
LitDIP	26.8496	17.6638	20.8861	30.4074	25.8366	32.3065
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	572.4767	470.3225	425.2341	681.3856	641.1175	754.1222
IndMCP_f	215.4643	212.0638	143.7436	318.4093	341.1176	360.2942
MidMCP_f	69.8045	57.3047	46.7289	58.3501	60.1595	87.7871
RinMMCP_fCP	107.8678	75.5408	97.7791	90.8571	49.5728	77.1103
LitMCP_f	131.9576	86.8361	102.9225	149.1300	126.7746	158.7052
ThPIP	373.7696	307.0732	277.6351	444.8762	418.5852	492.3658
IndPIP	92.6676	91.2051	61.8217	136.9425	146.7090	154.9565
MidPIP	30.1758	24.7723	20.2004	25.2242	26.0064	37.9495
RinPIP	54.4124	38.1055	49.3233	45.8316	25.0063	38.8972
LitPIP	71.1106	46.7951	55.4639	80.3646	68.3175	85.5246
ThDIP	145.9438	119.9012	108.4066	173.7083	163.4426	192.2514
IndDIP	40.7055	40.0631	27.1560	60.1538	64.4439	68.0667
MidDIP	11.9277	9.7919	7.9847	9.9705	10.2797	15.0005
RinDIP	19.9617	13.9794	18.0947	16.8138	9.1738	14.2698
LitDIP	26.8873	17.6934	20.9712	30.3862	25.8312	32.3373
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	573.0033	470.3262	426.2704	681.4948	641.5276	754.6867
IndMCP_f	215.4543	212.0414	143.9705	318.4297	341.3986	360.2569
MidMCP_f	69.8100	57.2991	46.8210	58.4571	60.2245	87.8782
RinMMCP_fCP	108.1743	75.3905	97.9606	90.9805	49.6442	77.4635
LitMCP_f	132.1466	86.9841	103.3536	149.0248	126.7473	158.8560
ThPIP	374.1135	307.0756	278.3116	444.9475	418.8529	492.7344
IndPIP	92.6633	91.1955	61.9193	136.9513	146.8298	154.9404
MidPIP	30.1782	24.7699	20.2403	25.2704	26.0345	37.9889
RinPIP	54.5670	38.0297	49.4148	45.8938	25.0423	39.0754
